text	label	labelSecondary
دور البيانات الضخمة في التنمية الإدارية - الفرص والتحديات	الإدارة_والسياسات_العامة	التطوير
دور القيادة الأكاديمية في تحقيق جودة خدمة عملاء الجامعة وفق نموذج جودة الخدمة SERVQUAL وتطبيقاته في مؤسسات التعليم العالي (تصور مقترح)	الإدارة_والسياسات_العامة	خدمة العملاء
دور القيادة الأكاديمية في تحقيق جودة خدمة عملاء الجامعة وفق نموذج جودة الخدمة SERVQUAL وتطبيقاته في مؤسسات التعليم العالي (تصور مقترح)	الإدارة_والسياسات_العامة	القيادة
دور القيادة الأكاديمية في تحقيق جودة خدمة عملاء الجامعة وفق نموذج جودة الخدمة SERVQUAL وتطبيقاته في مؤسسات التعليم العالي (تصور مقترح)	الإدارة_والسياسات_العامة	التعليم
دور القيادة في الجامعات الحكومية السعودية في بناء الجامعة المتعلمة: دراسة ميدانية من وجهة نظر الموظفين الإداريين فيها	الإدارة_والسياسات_العامة	القيادة
دور القيادة في الجامعات الحكومية السعودية في بناء الجامعة المتعلمة: دراسة ميدانية من وجهة نظر الموظفين الإداريين فيها	الإدارة_والسياسات_العامة	التعليم
دور المرأة السعودية في تحقيق رؤية المملكة 2030م	الإدارة_والسياسات_العامة	تمكين المرأة السعودية
دور المرأة السعودية في تحقيق رؤية المملكة 2030م	الإدارة_والسياسات_العامة	رؤية المملكة
دور المشرفة التربوية في تحسين العملية التعليمية(بحث)	الإدارة_والسياسات_العامة	التعليم
دور ممارسة التعلم التنظيمي في مساندة التغيير الإستراتيجي في المنشآت السعودية الكبرى	الإدارة_والسياسات_العامة	إدارة التغيير
دور ممارسة التعلم التنظيمي في مساندة التغيير الإستراتيجي في المنشآت السعودية الكبرى	الإدارة_والسياسات_العامة	التنظيم
دور مؤسسات التنمية الادارية في تمكين القيادات النسائية من مواجهة تحديات القيادة" دراسة ميدانية	الإدارة_والسياسات_العامة	تمكين المرأة السعودية
رضا العملاء المراجعين لأقسام الطوارئ في المستشفيات الحكومية بمدينة حائل	الإدارة_والسياسات_العامة	خدمة العملاء
رضا العملاء المراجعين لأقسام الطوارئ في المستشفيات الحكومية بمدينة حائل	الإدارة_والسياسات_العامة	الصحة
رضا العملاءعن جودةالخدمات المقدمة من الخطوط السعودية(بحث)	الإدارة_والسياسات_العامة	خدمة العملاء
رضا العملاءعن جودةالخدمات المقدمة من الخطوط السعودية(بحث)	الإدارة_والسياسات_العامة	النقل والمواصلات
رضا المستفيدين عن خدمات مستشفيات وزارة الصحه	الإدارة_والسياسات_العامة	الصحة
رضا المستفيدين عن خدمات مستشفيات وزارة الصحه	الإدارة_والسياسات_العامة	خدمة العملاء
رضا المستفيدين من الخدمات البلدية في مدينة الرياض(دراسة ميدانية)	الإدارة_والسياسات_العامة	خدمة العملاء
رضا المستفيدين من الخدمات البلدية في مدينة الرياض(دراسة ميدانية)	الإدارة_والسياسات_العامة	الإدارة المحلية
رؤى حول واقع قياس وإدارة الأداء في الأجهزة الحكومية بالمملكة ومعوقات التطبيق في ضوء رؤية المملكة 2030	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
رؤى حول واقع قياس وإدارة الأداء في الأجهزة الحكومية بالمملكة ومعوقات التطبيق في ضوء رؤية المملكة 2030	الإدارة_والسياسات_العامة	رؤية المملكة
سبل التعامل مع التداخل في اختصاصات الأجهزة الحكومية	الإدارة_والسياسات_العامة	الحوكمة
سلامة المرضى وجودة الرعاية	الإدارة_والسياسات_العامة	الصحة
سلامة المرضى وجودة الرعاية	الإدارة_والسياسات_العامة	الجودة
سلامة المرضى وجودة الرعاية الصحية	الإدارة_والسياسات_العامة	الصحة
سلوك المستهلك ( بين النظرية والتطبيق)	الإدارة_والسياسات_العامة	أطر نظرية
سلوك المواطنة التنظيمية في الاجهزة الحكومية القطرية	الإدارة_والسياسات_العامة	التنظيم
شفرة القيادة القواعد الخمس للقيادة	الإدارة_والسياسات_العامة	القيادة
صناعة القرار للقادة	الإدارة_والسياسات_العامة	القيادة
صناعة القرار للقادة	الإدارة_والسياسات_العامة	اتخاذ القرار
ضعف الأداء الأكاديمي: الأسباب والعلاج تطبيق على طلاب كلية الاقتصاد والادارة جامعة القصيم	الإدارة_والسياسات_العامة	التعليم
ضغوط العمل	الإدارة_والسياسات_العامة	أخرى
ضغوط العمل لدى الأطباء(بحث)	الإدارة_والسياسات_العامة	إنسانيات
ضغوط العمل لدى الأطباء(بحث)	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
ظاهرة التأهيل المفرط في السياق التنظيمي : مراجعة للأدبيات النظرية وتوصيات للبحث والممارسة.	الإدارة_والسياسات_العامة	التنظيم
ظاهرة التأهيل المفرط في السياق التنظيمي : مراجعة للأدبيات النظرية وتوصيات للبحث والممارسة.	الإدارة_والسياسات_العامة	أطر نظرية
عرض كتاب : إعادة هندسة الإدارة المطلب الحتمي للقيادة الجديدة	الإدارة_والسياسات_العامة	القيادة
عرض نقدي لكتاب : السياسات العامة : النظرية والتطبيق	الإدارة_والسياسات_العامة	أطر نظرية
عرض نقدي لكتاب : إدارة الجامعات ومؤسسات التعليم العالي: إستراتيجيات التطوير ومناهج التحسين	الإدارة_والسياسات_العامة	التعليم
عرض نقدي لكتاب : إدارة الجامعات ومؤسسات التعليم العالي: إستراتيجيات التطوير ومناهج التحسين	الإدارة_والسياسات_العامة	التطوير
عشرون عاماً من دراسات بطاقة الأداء المتوازن : الاتجاهات، الإنجازات، الفجوات والفرص لبحوث مستقبلية	الإدارة_والسياسات_العامة	أطر نظرية
عمل الحكومة : التداخل بين أدوار القطاع العام والخاص	الإدارة_والسياسات_العامة	أخرى
عمليات إدارة المعرفة كمتغير وسيط في العلاقة بين التوجه الريادي والأداء التنظيمي	الإدارة_والسياسات_العامة	إدارة المعرفة
عمليات إدارة المعرفة كمتغير وسيط في العلاقة بين التوجه الريادي والأداء التنظيمي	الإدارة_والسياسات_العامة	التنظيم
فاست الابداع والابتكار: تحسين الاجراءات وتطوير	الإدارة_والسياسات_العامة	الإبداع والإبتكار
فن الإدارة اليابانية	الإدارة_والسياسات_العامة	أطر نظرية
فهم الديناميكيات المعقدة للشفافية	الإدارة_والسياسات_العامة	الشفافية والنزاهة
فهم الديناميكيات المعقدة للشفافية	الإدارة_والسياسات_العامة	أطر نظرية
قدرة التوجيه عن بعد في تطوير الكفاءة الذاتية لرائدات الأعمال.	الإدارة_والسياسات_العامة	تمكين المرأة السعودية
قوة الروح: كيف تتحول المنظمات	الإدارة_والسياسات_العامة	أطر نظرية
قوة الروح: كيف تتحول المنظمات	الإدارة_والسياسات_العامة	التطوير
قيادة الأشخاص وإدارتهم في التربية	الإدارة_والسياسات_العامة	القيادة
قيادة التغيير	الإدارة_والسياسات_العامة	الإدارة الإستراتيجية
قياس الأداء في القطاع العام بانجلترا البحث عن الخيط الذهبي	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
قياس أثر جودة الخدمات الإلكترونية في القطاع الحكومي: نموذج مقترح	الإدارة_والسياسات_العامة	خدمة العملاء
قياس أثر جودة الخدمات الإلكترونية في القطاع الحكومي: نموذج مقترح	الإدارة_والسياسات_العامة	الجودة
قياس أداء العمل (الأساليب والنظرية والتطبيقات)	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
كتاب مؤتمر معاهد الادارة الثاني (٣ اجزاء)	الإدارة_والسياسات_العامة	مؤتمرات واجتماعات وفاعليات
كيف تنظم مؤتمرات واجتماعات فعالة	الإدارة_والسياسات_العامة	مؤتمرات واجتماعات وفاعليات
كيفية قياس فاعلية التدريب	الإدارة_والسياسات_العامة	التعليم
كيفية قياس فاعلية التدريب	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
لجان المراجعة وأثرها على تقرير المراجع الخارجي : دراسة تطبيقية على شركات الأدوية المصرية	الإدارة_والسياسات_العامة	المراجعة
لجان المراجعة وأثرها على تقرير المراجع الخارجي : دراسة تطبيقية على شركات الأدوية المصرية	الإدارة_والسياسات_العامة	الصحة
لماذا تتجاهل الادارة العامة التعليم العام ؟ وهل لذلك أهمية ؟	الإدارة_والسياسات_العامة	التعليم
مابعد إدارة المعرفة	الإدارة_والسياسات_العامة	إدارة المعرفة
متحمسون للخدمة	الإدارة_والسياسات_العامة	خدمة العملاء
مجتمع ما بعد الرأسمالية	الإدارة_والسياسات_العامة	أطر نظرية
مجلس الوكلاء في المملكة العربية السعودية 1350-1373 هـ / 1931-1953م	الإدارة_والسياسات_العامة	توثيق
محددات الانفاق الحكومي في المملكة العربية السعودية	الإدارة_والسياسات_العامة	الإنفاق الحكومي
محددات جودة خدمات الرعاية الصحية الأولية : دراسة نوعية	الإدارة_والسياسات_العامة	الجودة
محددات جودة خدمات الرعاية الصحية الأولية : دراسة نوعية	الإدارة_والسياسات_العامة	الصحة
مدخل مقترح لتطوير دور المعلومات المحاسبيه في اطار المفهوم المتكامل للجودة الشاملة	الإدارة_والسياسات_العامة	الجودة
مدى استعداد المديرين لاستخدام فرق العمل في الأجهزة الحكومية : دراسة استطلاعية على الأجهزة الإدارية	الإدارة_والسياسات_العامة	إدارة المشاريع
مدى الحاجة لتطوير أنظمة وهياكل الإدارة المحلية لمواكبة رؤية المملكة العربية السعودية 2030	الإدارة_والسياسات_العامة	التطوير
مدى الحاجة لتطوير أنظمة وهياكل الإدارة المحلية لمواكبة رؤية المملكة العربية السعودية 2030	الإدارة_والسياسات_العامة	رؤية المملكة
مدى اهتمام الجمارك الأردنية بتطبيق الضوابط الرقابية لأمن المعلومات المحاسبية في بيئة تكنولوجيا	الإدارة_والسياسات_العامة	الأجهزة الرقابية
مدى إدراك طلاب الجامعات لتأثير لبيئة التنظيمية الداخلية على دافعيتهم للإنجاز 	الإدارة_والسياسات_العامة	التعليم
مدى إدراك طلاب الجامعات لتأثير لبيئة التنظيمية الداخلية على دافعيتهم للإنجاز 	الإدارة_والسياسات_العامة	التنظيم
مدى إدراك طلاب الجامعات لتأثير لبيئة التنظيمية الداخلية على دافعيتهم للإنجاز 	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
مدى تأثير جودة المراجعة الداخلية في مستوى الشفافية بالأجهزة الحكومية في المملكة العربية السعودية - دراسة ميدانية	الإدارة_والسياسات_العامة	المراجعة
مدى تأثير جودة المراجعة الداخلية في مستوى الشفافية بالأجهزة الحكومية في المملكة العربية السعودية - دراسة ميدانية	الإدارة_والسياسات_العامة	الشفافية والنزاهة
مدى تأثير جودة المراجعة الداخلية في مستوى الشفافية بالأجهزة الحكومية في المملكة العربية السعودية - دراسة ميدانية	الإدارة_والسياسات_العامة	الجودة
مدى تطبيق الخطط في الأجهزة الحكومية	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
مدى تطبيق الخطط في الأجهزة الحكومية في المملكة العربية السعودية	الإدارة_والسياسات_العامة	الإدارة الإستراتيجية
مدى تطبيق مبادى أدارة الجودة الشاملة في مستشفيات مدينة الرياض من وجهة نظر ممارسي مهنة التمريض	الإدارة_والسياسات_العامة	الصحة
مدى تطبيق مبادى أدارة الجودة الشاملة في مستشفيات مدينة الرياض من وجهة نظر ممارسي مهنة التمريض	الإدارة_والسياسات_العامة	الجودة
مراجعة الحسابات العامة في المملكة العربية السعودية : آراء المراجعين في ديوان المراقبة العامة	الإدارة_والسياسات_العامة	المراجعة
مستقبل التعليم العالي في الوطن العربي في ظل التحديات العالمية	الإدارة_والسياسات_العامة	التعليم
مستقبل التعليم العالي في الوطن العربي في ظل التحديات العالمية	الإدارة_والسياسات_العامة	أطر نظرية
مستقبل السعودة ونمو أنتاجية العمل	الإدارة_والسياسات_العامة	الإنتاجية
مستقبل السعودة ونمو أنتاجية العمل	الإدارة_والسياسات_العامة	توطين
مستوى التكامل بين القيادات الاستراتيجية والتنفيذية الحكومية في المملكة العربية السعودية	الإدارة_والسياسات_العامة	القيادة
مستوى السلوك القيادي التحويلي وعلاقته بالذكاء العاطفي لدى مديري مدارس التعليم العام بمكتب التربية	الإدارة_والسياسات_العامة	القيادة
مستوى السلوك القيادي التحويلي وعلاقته بالذكاء العاطفي لدى مديري مدارس التعليم العام بمكتب التربية	الإدارة_والسياسات_العامة	التعليم
مستوى السلوك القيادي التحويلي وعلاقته بالذكاء العاطفي لدى مديري مدارس التعليم العام بمكتب التربية	الإدارة_والسياسات_العامة	إنسانيات
مسح البيئة الخارجية للاجهزة الحكومية المركزية(بحث)	الإدارة_والسياسات_العامة	مسوح واستطلاعات
مصادر الشراء	الإدارة_والسياسات_العامة	المشتريات
مضامين القيادة التحويلية ببرامج الدراسات العليا في الإدارة التربوية والتخطيط ودورها في تنمية مهارات الدارسين القيادية	الإدارة_والسياسات_العامة	القيادة
مضامين القيادة التحويلية ببرامج الدراسات العليا في الإدارة التربوية والتخطيط ودورها في تنمية مهارات الدارسين القيادية	الإدارة_والسياسات_العامة	التعليم
معايير اختيار القادة في الأجهزة الحكومية	الإدارة_والسياسات_العامة	القيادة
معايير المراجعة الدولية	الإدارة_والسياسات_العامة	المراجعة
معهد الإدارة العامة نشأة وتطور - إنجليزي	الإدارة_والسياسات_العامة	توثيق
معهد الإدارة العامة نشأة وتطور - عربي فاخر	الإدارة_والسياسات_العامة	توثيق
معهد الإدارة نشأة وتطور	الإدارة_والسياسات_العامة	توثيق
معهد الإدارة نشأة وتطور _عربي عادي	الإدارة_والسياسات_العامة	توثيق
معوقات الابداع في المنظمات السعودية	الإدارة_والسياسات_العامة	الإبداع والإبتكار
معوقات البحث العلمي في مجال العلوم الادارية(بحث)	الإدارة_والسياسات_العامة	أطر نظرية
معوقات السكرتارية الفعالة	الإدارة_والسياسات_العامة	الإدارة المكتبية واعمال السكرتارية 
معوقات إدارة الازمات المدرسية في مدارس التعليم	الإدارة_والسياسات_العامة	إداره الأزمات والمخاطر
معوقات إدارة الازمات المدرسية في مدارس التعليم	الإدارة_والسياسات_العامة	التعليم
معوقات تولى المرأة السعودية المناصب القيادية العليا في الجامعات السعودية	الإدارة_والسياسات_العامة	القيادة
معوقات تولى المرأة السعودية المناصب القيادية العليا في الجامعات السعودية	الإدارة_والسياسات_العامة	تمكين المرأة السعودية
معوقات تولى المرأة السعودية المناصب القيادية العليا في الجامعات السعودية	الإدارة_والسياسات_العامة	التعليم
معوقات ومقومات تطبيق إدارة الجودة الكليه	الإدارة_والسياسات_العامة	الجودة
معوقات ومقومات تطبيق إدارة الجودة الكليه	الإدارة_والسياسات_العامة	أطر نظرية
مقارنة بعض خصائص واتجاهات المرؤسين وبعض سلوكيات القيادة في التنبؤ بالالتزام التنظيمي للمرؤوسين	الإدارة_والسياسات_العامة	القيادة
مقارنة بعض خصائص واتجاهات المرؤسين وبعض سلوكيات القيادة في التنبؤ بالالتزام التنظيمي للمرؤوسين	الإدارة_والسياسات_العامة	التنظيم
مقارنة بين نماذج الكوارث : البحث عن دليل لسياسة شاملة	الإدارة_والسياسات_العامة	إداره الأزمات والمخاطر
مقارنة بين نماذج الكوارث : البحث عن دليل لسياسة شاملة	الإدارة_والسياسات_العامة	أطر نظرية
مقومات المدير التنفيذي الفعال	الإدارة_والسياسات_العامة	القيادة
مهارات قيادة فريق العمل لدى مديري المدارس الثانوية العامة ووكلائها بالبحيرة	الإدارة_والسياسات_العامة	التعليم
مهارات قيادة فريق العمل لدى مديري المدارس الثانوية العامة ووكلائها بالبحيرة	الإدارة_والسياسات_العامة	القيادة
مواقع المكتبات الجامعية السعودية على شبكة الإنترنت : تقييم للواقع والخدمات	الإدارة_والسياسات_العامة	مكتبات
مؤشر رضا المستفدين عن الخدمات البريدية بمدينة الرياض(بحث)	الإدارة_والسياسات_العامة	خدمة العملاء
مؤشر رضا المستفدين عن الخدمات البريدية بمدينة الرياض(بحث)	الإدارة_والسياسات_العامة	البريد
مؤشرات الأداء الرئيسية للمؤسسات الحكومية وغير الربحية	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
مؤلفات كلاسيكية في الادارة العامة	الإدارة_والسياسات_العامة	أطر نظرية
مؤلفات كلاسيكية في الإدارة العامة (جزأين)	الإدارة_والسياسات_العامة	أطر نظرية
نظام التأمين الصحي التعاوني في المملكة	الإدارة_والسياسات_العامة	الصحة
نظام دعم قرارات مقترح مبني على أسلوب التحليل الهرمي لإدارة الصيانة	الإدارة_والسياسات_العامة	اتخاذ القرار
نظرية الاتصال والبحوث التطبيقية (كتاب ودليل)	الإدارة_والسياسات_العامة	أطر نظرية
نظرية الاتصال والبحوث التطبيقية (كتاب ودليل)	الإدارة_والسياسات_العامة	الاتصال الإداري
نظرية التنظيم	الإدارة_والسياسات_العامة	أطر نظرية
نظرية الفساد عند ابن خلدون	الإدارة_والسياسات_العامة	الفساد
نظرية الفساد عند ابن خلدون	الإدارة_والسياسات_العامة	أطر نظرية
نظرية المنظمة المبدعة	الإدارة_والسياسات_العامة	الإبداع والإبتكار
نظرية المنظمة المبدعة	الإدارة_والسياسات_العامة	أطر نظرية
نظرية أصحاب المصالح وأبعادها الفلسفية	الإدارة_والسياسات_العامة	أطر نظرية
نظرية ما بعد الحداثـة للإدارة العامة	الإدارة_والسياسات_العامة	أطر نظرية
نموذج إحصائي مقترح للتنبؤ بعدد الحالات اليومية للإصابة والتعافي والوفاة بكوفيد	الإدارة_والسياسات_العامة	الصحة
نوع الجهاز الحكومي و أثره على مستوى الرضا الوظيفي : دراسة تطبيقية	الإدارة_والسياسات_العامة	التنظيم
هل رضا العميل وجودة الخدمة الحكومية حق أم ميزة؟	الإدارة_والسياسات_العامة	خدمة العملاء
هل رضا العميل وجودة الخدمة الحكومية حق أم ميزة؟	الإدارة_والسياسات_العامة	الجودة
هل مايزال شبح فريدريك تايلور يسكن أروقة الحكومة؟ نظرة إلى مفهوم الكفاءة الحكومية في عصرنا	الإدارة_والسياسات_العامة	أطر نظرية
واقع الاتصالات الكتابية فى الاجهزة الحكومية(بحث)	الإدارة_والسياسات_العامة	الاتصال الإداري
واقع التخطيط الإستراتيجي في الإجهزة الحكومية ودوره في تحقيق رؤية المملكة 2030	الإدارة_والسياسات_العامة	الإدارة الإستراتيجية
واقع التخطيط الإستراتيجي في الإجهزة الحكومية ودوره في تحقيق رؤية المملكة 2030	الإدارة_والسياسات_العامة	رؤية المملكة
واقع التقنيات المكتبية الحديثة ومشكلاتها	الإدارة_والسياسات_العامة	مكتبات
واقع الثقافة التنظيمية وعلاقتها بالتمكين الإداري للقيادات النسائية في الوزارات الحكومية بالمملكة العربية السعودية	الإدارة_والسياسات_العامة	التنظيم
واقع الثقافة التنظيمية وعلاقتها بالتمكين الإداري للقيادات النسائية في الوزارات الحكومية بالمملكة العربية السعودية	الإدارة_والسياسات_العامة	تمكين المرأة السعودية
واقع إستراتيجيات الريادة في الجامعات السعودية : دراسة ميدانية على جامعة الملك سعود	الإدارة_والسياسات_العامة	التعليم
واقع إستراتيجيات الريادة في الجامعات السعودية : دراسة ميدانية على جامعة الملك سعود	الإدارة_والسياسات_العامة	القيادة
واقع أعمال التشغيل والصيانة الذاتية والتعاقدية	الإدارة_والسياسات_العامة	التشغيل والصيانة
واقع تجربة توظيف المبتعثين السعوديين في الشركات اليابانية	الإدارة_والسياسات_العامة	المبتعثين
واقع تنمية واستثمار الموارد المالية في الجمعيات الخيرية: : دراسة ميدانية بمدينة الرياض	الإدارة_والسياسات_العامة	المنظمات غير الربحية
واقع دور القيادات الإدارية في تنمية وتحسين خدمة العملاء: دراسة استطلاعية على القطاع الحكومي بالمملكة	الإدارة_والسياسات_العامة	خدمة العملاء
واقع دور القيادات الإدارية في تنمية وتحسين خدمة العملاء: دراسة استطلاعية على القطاع الحكومي بالمملكة	الإدارة_والسياسات_العامة	القيادة
وظيفة المراقب المالي (جزءان)	الإدارة_والسياسات_العامة	المراجعة
 الحاسب الالي والتطبيقات الإحصائية بلغة بيسك	التحول_الرقمي_والمعلومات	برمجة
 دور شبكات التواصل الاجتماعي في تحفيز النمو الاقتصادي للمشاريع الصغيرة والمتوسطة : دراسة ميدانية	التحول_الرقمي_والمعلومات	شبكات التواصل الإجتماعي
 عرض نقدي لكتاب تكنولوجيا المعلومات للادارة : تحول المنظمات نحو الاقتصاد الرقمي 	التحول_الرقمي_والمعلومات	نظم المعلومات
Designing and Evaluating an AI Framework to apply Administrative Development in Saudi Public Sectors	التحول_الرقمي_والمعلومات	الذكاء الاصطناعي
Ensuring customer satisfaction in the public sector through the regulation of privacy statements	التحول_الرقمي_والمعلومات	علم البيانات والبيانات الضخمة
How could ITIL framework drive quality; be implemented in customer services within government sector? A case study of UK government	التحول_الرقمي_والمعلومات	ITIL
اتجاهات أعضاء هيئة التدريس في الجامعات الحكومية نحو دور التدريب عن بعد في تنمية قدراتهم	التحول_الرقمي_والمعلومات	نظم المعلومات
اساليب البرمجة الحديثة بلغة بيسك	التحول_الرقمي_والمعلومات	برمجة
استخدام الانترنت والرضا الوظيفي	التحول_الرقمي_والمعلومات	شبكات الحاسب الآلي
استخدام شبكة الانترنت في الاعلان الالكتروني في منشات الحاسب الالي السعودية	التحول_الرقمي_والمعلومات	شبكات الحاسب الآلي
استكشاف البيانات	التحول_الرقمي_والمعلومات	علم البيانات والبيانات الضخمة
الاتجاهات التقليدية في إدارة واعتماد الأنظمة المعلوماتية في القطاعات الحكومية السعودية وتأثيرها	التحول_الرقمي_والمعلومات	إدارة المعلومات
الاتجاهات التقليدية في إدارة واعتماد الأنظمة المعلوماتية في القطاعات الحكومية السعودية وتأثيرها	التحول_الرقمي_والمعلومات	نظم المعلومات
الاتصالات الادارية ونظم المعلومات	التحول_الرقمي_والمعلومات	نظم المعلومات
الانتاجية والتغير التقني في المصارف الاسلامية : منهجية مؤشر مالمكويست	التحول_الرقمي_والمعلومات	نظم المعلومات
الإدارة الاستراتيجية لنظم المعلومات	التحول_الرقمي_والمعلومات	نظم المعلومات
الإدارة الإلكترونيه وآفاق تطبيقاتها في المملكة العربية السعودية	التحول_الرقمي_والمعلومات	الحوكمة الرقمية
الأبعاد السلوكية المحددة لتبني أنظمة الحكومة الألكترونية بين موظفي القطاع العام في المملكة	التحول_الرقمي_والمعلومات	الحكومة الإلكترونية
البرمجة التطبيقية بلغة كوبول	التحول_الرقمي_والمعلومات	برمجة
البيانات الضخمة Big Data في المملكة العربية السعودية: الواقع والتحديات	التحول_الرقمي_والمعلومات	علم البيانات والبيانات الضخمة
التحديات التي تواجهها القيادات الإدارية الحكومية في توظيف نظم إدارة التعليم والتدريب الإلكتروني في الأجهزة الحكومية: دراسة نوعية باستخدام نموذج قبول التقنية	التحول_الرقمي_والمعلومات	نظم المعلومات
التحول الالكتروني ترسيخ استراتيجيات التنمية الحديثة	التحول_الرقمي_والمعلومات	الحكومة الإلكترونية
التنبؤ بانتشار مرض (كوفيد-19) في المملكة العربية السعودية	التحول_الرقمي_والمعلومات	علم البيانات والبيانات الضخمة
الجودة الشاملة في إدارة المعلومات	التحول_الرقمي_والمعلومات	إدارة المعلومات
الحاسب وأمن المعلومات	التحول_الرقمي_والمعلومات	أمن المعلومات 
الحكومة الذكية ودورها في تطوير خدمات الأجهزة الحكومية	التحول_الرقمي_والمعلومات	الحكومة الذكية
الحوسبة السحابية: أساسيات ومبادئ وتطبيقات	التحول_الرقمي_والمعلومات	الحوسبة السحابية
الحوكمة الإلكترونية ودورها في تحقيق أهداف التنمية الإدارية: دراسة حالة لنموذج الحكومة الذكية بدبي	التحول_الرقمي_والمعلومات	الحوكمة الرقمية
الذكاء الاصطناعي وإدارة الأزمات : دراسة حالة لأزمة جائحة فيروس كورونا (COVID-19).	التحول_الرقمي_والمعلومات	الذكاء الاصطناعي
الذكاء المحوسب وتطبيقاته في ميادين التجارة والأعمال	التحول_الرقمي_والمعلومات	نظم المعلومات
الشبكات المعرفة بالبرمجيات: المفهوم الشامل	التحول_الرقمي_والمعلومات	شبكات الحاسب الآلي
العلاقة بين نظم المعلومات والميزة التنافسية في قطاع الأدوية الأردني	التحول_الرقمي_والمعلومات	نظم المعلومات
العوامل المؤثرة في تسريب الموظفين للوثائق والمعلومات السرية من منظور الأمن السيبراني في المملكة العربية السعودية.	التحول_الرقمي_والمعلومات	أمن المعلومات 
القيادة التربوية والتخطيط للتقنية	التحول_الرقمي_والمعلومات	الحوكمة الرقمية
الوباء المعلوماتي لجائحة (كوفيد 19) : دراسة استكشافية	التحول_الرقمي_والمعلومات	علم البيانات والبيانات الضخمة
الوعى الأمني المعلوماتي لموظفي القطاع الحكومي في المملكة العربية السعودية	التحول_الرقمي_والمعلومات	أمن المعلومات 
ايضاح استخدام الموظف لنظام بعد تطبيقه، والأداء الوظيفي : تأثير محتوى ومصدر شبكة العلاقات الاجتماعية	التحول_الرقمي_والمعلومات	شبكات التواصل الإجتماعي
إدارة الحوكمة الرقمية	التحول_الرقمي_والمعلومات	الحوكمة الرقمية
إدارة وتطوير مشاريع البرمجيات	التحول_الرقمي_والمعلومات	إدارة المعلومات
إطار عمل للحكومة الذكية المُمكنة بإنترنت الأشياء : دراسة حالة لسياسات الأمن السيبراني لإنترنت الأشياء وحالات الاستخدام في الحكومة الفيدرالية الأمريكية	التحول_الرقمي_والمعلومات	إنترنت الأشياء
إطار عمل للحكومة الذكية المُمكنة بإنترنت الأشياء : دراسة حالة لسياسات الأمن السيبراني لإنترنت الأشياء وحالات الاستخدام في الحكومة الفيدرالية الأمريكية	التحول_الرقمي_والمعلومات	أمن المعلومات 
أثر استخدام تكنولوجيا المعلومات على مهنة التدقيق في قطاع الشركات الصناعية في الاردن : دراسة ميدانية	التحول_الرقمي_والمعلومات	نظم المعلومات
أثر تطبيق الحكومة الإكترونية في تحقيق الشفافية الإكترونية	التحول_الرقمي_والمعلومات	الحكومة الإلكترونية
أثر خصائص تصميم نظم المعلومات في فعالية نظم المعلومات التسويقية في الشركات الصغيرة والمتوسطة	التحول_الرقمي_والمعلومات	نظم المعلومات
أثر نظم المعلومات الإدارية على العملية الإدارية " دراسة ميدانية على جامعة الملك سعود"	التحول_الرقمي_والمعلومات	نظم المعلومات
أستخدام نظم معلومات الموارد البشرية	التحول_الرقمي_والمعلومات	نظم المعلومات
أمن المعلومات في البنوك السعودية من وجهة نظر رؤساء تقنية المعلومات	التحول_الرقمي_والمعلومات	أمن المعلومات 
أمن المعلومات وإدارة مخاطر تقنية المعلومات	التحول_الرقمي_والمعلومات	أمن المعلومات 
أمن شبكات المعلومات	التحول_الرقمي_والمعلومات	أمن المعلومات 
آليات تحقيق الأمن السيبراني وانعكاساتها على سلوك مستخدمي تقنية المعلومات من موظفي القطاع الحكومي بالمملكة العربية السعودية	التحول_الرقمي_والمعلومات	أمن المعلومات 
تبادل المعلومات وكفاءة سوق التمويل في المملكة العربية السعودية	التحول_الرقمي_والمعلومات	تبادل المعلومات
تبني مفهوم الحكومة الذكية لتطوير خدمات عملاء القطاع الحكومي في المملكة العربية السعودية: الواقع والتطلعات (بالتطبيق على مدينة الرياض)	التحول_الرقمي_والمعلومات	الحكومة الذكية
تحديات ومستقبل التحول الرقمي في المملكة العربية السعودية	التحول_الرقمي_والمعلومات	الحوكمة الرقمية
تحديد تحديات الذكاء الاصطناعي في القطاع العام أدلة من الرعاية الصحية العامة.	التحول_الرقمي_والمعلومات	الذكاء الاصطناعي
تحليل وتصميم نظم معالجة البيانات	التحول_الرقمي_والمعلومات	قواعد البيانات 
تصميم وتطبيق نظم قواعد البيانات العلائقية	التحول_الرقمي_والمعلومات	قواعد البيانات 
تطوير نظم معلومات الحاسب الالي ( تحليل وتصميم)	التحول_الرقمي_والمعلومات	برمجة
تقنية سلسلة الكتل (Blockchain) في المنظمات الحكومية فوائد وآثار تقنية السجلات الموزعة لمشاركة	التحول_الرقمي_والمعلومات	Blockchain
